_id;Chapter;Book;Page;Sentence;Tagged;Mapped;Lemma
289;2/B;I;39;But we haven’t got a lot of elephants.;[('But', 'CC'), ('we', 'PRP'), ('haven’t', 'VBP'), ('got', 'VBD'), ('a', 'DT'), ('lot', 'NN'), ('of', 'IN'), ('elephants', 'NNS'), ('.', '.')];{'a': ['a'], 'lot': ['lot'], 'But': ['But'], 'elephant': ['elephants'], 'of': ['of'], 'we': ['we'], '.': ['.'], 'got': ['got'], 'haven’t': ['haven’t']};['But', 'we', 'haven’t', 'got', 'a', 'lot', 'of', 'elephant', '.']
290;2/B;I;39;But my favourite elephant is the big one between the shelf and the desk.;[('But', 'CC'), ('my', 'PRP$'), ('favourite', 'JJ'), ('elephant', 'NN'), ('is', 'VBZ'), ('the', 'DT'), ('big', 'JJ'), ('one', 'NN'), ('between', 'IN'), ('the', 'DT'), ('shelf', 'NN'), ('and', 'CC'), ('the', 'DT'), ('desk', 'NN'), ('.', '.')];{'But': ['But'], 'my': ['my'], 'big': ['big'], 'and': ['and'], 'elephant': ['elephant'], 'favourite': ['favourite'], '.': ['.'], 'desk': ['desk'], 'shelf': ['shelf'], 'between': ['between'], 'the': ['the', 'the', 'the'], 'one': ['one'], 'is': ['is']};['But', 'my', 'favourite', 'elephant', 'is', 'the', 'big', 'one', 'between', 'the', 'shelf', 'and', 'the', 'desk', '.']
291;2/B;I;39;It’s got blue stripes and brown eyes.;[('It’s', 'NNP'), ('got', 'VBD'), ('blue', 'JJ'), ('stripes', 'NNS'), ('and', 'CC'), ('brown', 'JJ'), ('eyes', 'NNS'), ('.', '.')];{'.': ['.'], 'blue': ['blue'], 'brown': ['brown'], 'stripe': ['stripes'], 'It’s': ['It’s'], 'and': ['and'], 'eye': ['eyes'], 'got': ['got']};['It’s', 'got', 'blue', 'stripe', 'and', 'brown', 'eye', '.']
292;2/B;I;39;Please can I go to Caroline’s sleepover?;[('Please', 'VB'), ('can', 'MD'), ('I', 'PRP'), ('go', 'VB'), ('to', 'TO'), ('Caroline’s', 'NNP'), ('sleepover', 'NN'), ('?', '.')];{'can': ['can'], 'Please': ['Please'], 'to': ['to'], '?': ['?'], 'go': ['go'], 'Caroline’s': ['Caroline’s'], 'sleepover': ['sleepover'], 'I': ['I']};['Please', 'can', 'I', 'go', 'to', 'Caroline’s', 'sleepover', '?']
293;2/B;I;39;Mrs Butler: OK, if you really want to sleep in a room with all the elephants!;[('Mrs', 'NNP'), ('Butler', 'NNP'), (':', ':'), ('OK', 'UH'), (',', ','), ('if', 'IN'), ('you', 'PRP'), ('really', 'RB'), ('want', 'VBP'), ('to', 'TO'), ('sleep', 'VB'), ('in', 'IN'), ('a', 'DT'), ('room', 'NN'), ('with', 'IN'), ('all', 'PDT'), ('the', 'DT'), ('elephants', 'NNS'), ('!', '.')];{'a': ['a'], 'Butler': ['Butler'], '!': ['!'], 'Mrs': ['Mrs'], 'really': ['really'], 'want': ['want'], 'OK': ['OK'], ':': [':'], 'if': ['if'], 'elephant': ['elephants'], 'you': ['you'], 'room': ['room'], 'to': ['to'], 'all': ['all'], ',': [','], 'the': ['the'], 'sleep': ['sleep'], 'in': ['in'], 'with': ['with']};['Mrs', 'Butler', ':', 'OK', ',', 'if', 'you', 'really', 'want', 'to', 'sleep', 'in', 'a', 'room', 'with', 'all', 'the', 'elephant', '!']
294;2/B;I;40;Has Caroline got football posters?;[('Has', 'NNP'), ('Caroline', 'NNP'), ('got', 'VBD'), ('football', 'NN'), ('posters', 'NNS'), ('?', '.')];{'Caroline': ['Caroline'], 'got': ['got'], 'poster': ['posters'], 'Has': ['Has'], 'football': ['football'], '?': ['?']};['Has', 'Caroline', 'got', 'football', 'poster', '?']
295;2/B;I;40;Yes, she has.;[('Yes', 'UH'), (',', ','), ('she', 'PRP'), ('has', 'VBZ'), ('.', '.')];{',': [','], '.': ['.'], 'she': ['she'], 'Yes': ['Yes'], 'ha': ['has']};['Yes', ',', 'she', 'ha', '.']
296;2/B;I;40;My dream room is very big.;[('My', 'PRP$'), ('dream', 'NN'), ('room', 'NN'), ('is', 'VBZ'), ('very', 'RB'), ('big', 'JJ'), ('.', '.')];{'very': ['very'], 'My': ['My'], 'dream': ['dream'], 'big': ['big'], 'room': ['room'], '.': ['.'], 'is': ['is']};['My', 'dream', 'room', 'is', 'very', 'big', '.']
297;2/B;I;40;It has got a basket ball basket.;[('It', 'PRP'), ('has', 'VBZ'), ('got', 'VBD'), ('a', 'DT'), ('basket', 'NN'), ('ball', 'NN'), ('basket', 'NN'), ('.', '.')];{'a': ['a'], '.': ['.'], 'It': ['It'], 'ha': ['has'], 'ball': ['ball'], 'basket': ['basket', 'basket'], 'got': ['got']};['It', 'ha', 'got', 'a', 'basket', 'ball', 'basket', '.']
298;2/B;I;40;I can play basketball every day.;[('I', 'PRP'), ('can', 'MD'), ('play', 'VB'), ('basketball', 'DT'), ('every', 'DT'), ('day', 'NN'), ('.', '.')];{'can': ['can'], 'I': ['I'], 'basketball': ['basketball'], 'day': ['day'], 'play': ['play'], 'every': ['every'], '.': ['.']};['I', 'can', 'play', 'basketball', 'every', 'day', '.']
299;2/B;I;40;I’ve got a red bed and a green desk.;[('I’ve', 'NNP'), ('got', 'VBD'), ('a', 'DT'), ('red', 'JJ'), ('bed', 'NN'), ('and', 'CC'), ('a', 'DT'), ('green', 'JJ'), ('desk', 'NN'), ('.', '.')];{'a': ['a', 'a'], 'desk': ['desk'], '.': ['.'], 'and': ['and'], 'got': ['got'], 'red': ['red'], 'green': ['green'], 'I’ve': ['I’ve'], 'bed': ['bed']};['I’ve', 'got', 'a', 'red', 'bed', 'and', 'a', 'green', 'desk', '.']
300;2/B;I;40;On the wall there is a poster of a dinosaur.;[('On', 'IN'), ('the', 'DT'), ('wall', 'NN'), ('there', 'EX'), ('is', 'VBZ'), ('a', 'DT'), ('poster', 'NN'), ('of', 'IN'), ('a', 'DT'), ('dinosaur', 'NN'), ('.', '.')];{'a': ['a', 'a'], 'dinosaur': ['dinosaur'], '.': ['.'], 'On': ['On'], 'poster': ['poster'], 'the': ['the'], 'of': ['of'], 'there': ['there'], 'is': ['is'], 'wall': ['wall']};['On', 'the', 'wall', 'there', 'is', 'a', 'poster', 'of', 'a', 'dinosaur', '.']
301;2/B;I;40;I’ve got a big TV and a DVD player.;[('I’ve', 'NNP'), ('got', 'VBD'), ('a', 'DT'), ('big', 'JJ'), ('TV', 'NN'), ('and', 'CC'), ('a', 'DT'), ('DVD', 'NNP'), ('player', 'NN'), ('.', '.')];{'a': ['a', 'a'], 'player': ['player'], '.': ['.'], 'I’ve': ['I’ve'], 'big': ['big'], 'DVD': ['DVD'], 'and': ['and'], 'got': ['got'], 'TV': ['TV']};['I’ve', 'got', 'a', 'big', 'TV', 'and', 'a', 'DVD', 'player', '.']
302;2/B;I;40;I can watch my favourite DVDs every day.;[('I', 'PRP'), ('can', 'MD'), ('watch', 'VB'), ('my', 'PRP$'), ('favourite', 'JJ'), ('DVDs', 'NNP'), ('every', 'DT'), ('day', 'NN'), ('.', '.')];{'DVDs': ['DVDs'], 'can': ['can'], 'I': ['I'], 'watch': ['watch'], 'day': ['day'], 'every': ['every'], 'my': ['my'], '.': ['.'], 'favourite': ['favourite']};['I', 'can', 'watch', 'my', 'favourite', 'DVDs', 'every', 'day', '.']
303;2/B;I;40;"Dear Caroline and George, Please – load the dishwasher – sweep the floor – hoover the living room –
            lay the table – tidy your rooms this afternoon Thanks! Mum
        ";[('Dear', 'NNP'), ('Caroline', 'NNP'), ('and', 'CC'), ('George', 'NNP'), (',', ','), ('Please', 'NNP'), ('–', 'NNP'), ('load', 'VBD'), ('the', 'DT'), ('dishwasher', 'NN'), ('–', 'NN'), ('sweep', 'VBD'), ('the', 'DT'), ('floor', 'NN'), ('–', 'NN'), ('hoover', 'VBD'), ('the', 'DT'), ('living', 'NN'), ('room', 'NN'), ('–', 'NNP'), ('lay', 'VBD'), ('the', 'DT'), ('table', 'NN'), ('–', 'JJ'), ('tidy', 'VB'), ('your', 'PRP$'), ('rooms', 'NNS'), ('this', 'DT'), ('afternoon', 'NN'), ('Thanks', 'VBZ'), ('!', '.'), ('Mum', 'NN')];{'this': ['this'], 'dishwasher': ['dishwasher'], 'Caroline': ['Caroline'], 'table': ['table'], 'Dear': ['Dear'], 'room': ['room', 'rooms'], 'your': ['your'], '–': ['–', '–', '–', '–', '–'], 'Please': ['Please'], 'sweep': ['sweep'], 'floor': ['floor'], ',': [','], 'afternoon': ['afternoon'], 'tidy': ['tidy'], 'Thanks': ['Thanks'], 'living': ['living'], 'and': ['and'], 'lay': ['lay'], 'hoover': ['hoover'], 'load': ['load'], '!': ['!'], 'George': ['George'], 'the': ['the', 'the', 'the', 'the'], 'Mum': ['Mum']};['Dear', 'Caroline', 'and', 'George', ',', 'Please', '–', 'load', 'the', 'dishwasher', '–', 'sweep', 'the', 'floor', '–', 'hoover', 'the', 'living', 'room', '–', 'lay', 'the', 'table', '–', 'tidy', 'your', 'room', 'this', 'afternoon', 'Thanks', '!', 'Mum']
304;2/B;I;41;Caroline: George, look at all these jobs on Mum’s list!;[('Caroline', 'NN'), (':', ':'), ('George', 'NNP'), (',', ','), ('look', 'NN'), ('at', 'IN'), ('all', 'PDT'), ('these', 'DT'), ('jobs', 'NNS'), ('on', 'IN'), ('Mum’s', 'NNP'), ('list', 'NN'), ('!', '.')];{'Caroline': ['Caroline'], 'list': ['list'], 'on': ['on'], 'at': ['at'], 'Mum’s': ['Mum’s'], ':': [':'], 'all': ['all'], 'these': ['these'], 'look': ['look'], '!': ['!'], 'George': ['George'], 'job': ['jobs'], ',': [',']};['Caroline', ':', 'George', ',', 'look', 'at', 'all', 'these', 'job', 'on', 'Mum’s', 'list', '!']
305;2/B;I;41;What can you do?;[('What', 'WP'), ('can', 'MD'), ('you', 'PRP'), ('do', 'VB'), ('?', '.')];{'you': ['you'], 'can': ['can'], 'What': ['What'], 'do': ['do'], '?': ['?']};['What', 'can', 'you', 'do', '?']
306;2/B;I;41;George: Well, I always load the dishwasher.;[('George', 'NNP'), (':', ':'), ('Well', 'NNP'), (',', ','), ('I', 'PRP'), ('always', 'RB'), ('load', 'VBP'), ('the', 'DT'), ('dishwasher', 'NN'), ('.', '.')];{'load': ['load'], 'always': ['always'], 'I': ['I'], 'the': ['the'], 'George': ['George'], ',': [','], 'Well': ['Well'], ':': [':'], 'dishwasher': ['dishwasher'], '.': ['.']};['George', ':', 'Well', ',', 'I', 'always', 'load', 'the', 'dishwasher', '.']
307;2/B;I;41;So you can do it today.;[('So', 'IN'), ('you', 'PRP'), ('can', 'MD'), ('do', 'VB'), ('it', 'PRP'), ('today', 'NN'), ('.', '.')];{'you': ['you'], 'can': ['can'], 'So': ['So'], 'do': ['do'], 'it': ['it'], 'today': ['today'], '.': ['.']};['So', 'you', 'can', 'do', 'it', 'today', '.']
308;2/B;I;41;Caroline: No, you don’t.;[('Caroline', 'NN'), (':', ':'), ('No', 'UH'), (',', ','), ('you', 'PRP'), ('don’t', 'VBP'), ('.', '.')];{'you': ['you'], 'No': ['No'], 'Caroline': ['Caroline'], ',': [','], ':': [':'], '.': ['.'], 'don’t': ['don’t']};['Caroline', ':', 'No', ',', 'you', 'don’t', '.']
309;2/B;I;41;I often load the dishwasher.;[('I', 'PRP'), ('often', 'RB'), ('load', 'VBP'), ('the', 'DT'), ('dishwasher', 'NN'), ('.', '.')];{'load': ['load'], 'dishwasher': ['dishwasher'], 'I': ['I'], 'often': ['often'], 'the': ['the'], '.': ['.']};['I', 'often', 'load', 'the', 'dishwasher', '.']
310;2/B;I;41;Girls do more jobs around the house.;[('Girls', 'NNS'), ('do', 'VBP'), ('more', 'JJR'), ('jobs', 'NNS'), ('around', 'IN'), ('the', 'DT'), ('house', 'NN'), ('.', '.')];{'Girls': ['Girls'], 'around': ['around'], '.': ['.'], 'more': ['more'], 'house': ['house'], 'do': ['do'], 'job': ['jobs'], 'the': ['the']};['Girls', 'do', 'more', 'job', 'around', 'the', 'house', '.']
311;2/B;I;41;Boys have an easy life.;[('Boys', 'NNS'), ('have', 'VBP'), ('an', 'DT'), ('easy', 'JJ'), ('life', 'NN'), ('.', '.')];{'.': ['.'], 'have': ['have'], 'easy': ['easy'], 'life': ['life'], 'Boys': ['Boys'], 'an': ['an']};['Boys', 'have', 'an', 'easy', 'life', '.']
312;2/B;I;41;George: That’s not true.;[('George', 'NNP'), (':', ':'), ('That’s', 'NNP'), ('not', 'RB'), ('true', 'JJ'), ('.', '.')];{'.': ['.'], 'not': ['not'], 'That’s': ['That’s'], 'George': ['George'], ':': [':'], 'true': ['true']};['George', ':', 'That’s', 'not', 'true', '.']
313;2/B;I;41;Boys always help at home.;[('Boys', 'NNP'), ('always', 'RB'), ('help', 'VBP'), ('at', 'IN'), ('home', 'NN'), ('.', '.')];{'always': ['always'], 'Boys': ['Boys'], 'help': ['help'], 'at': ['at'], '.': ['.'], 'home': ['home']};['Boys', 'always', 'help', 'at', 'home', '.']
314;2/B;I;41;Look at me! I sometimes hoover the living room and I often take out the rubbish … .;[('Look', 'NN'), ('at', 'IN'), ('me', 'PRP'), ('!', '.'), ('I', 'PRP'), ('sometimes', 'RB'), ('hoover', 'VBP'), ('the', 'DT'), ('living', 'NN'), ('room', 'NN'), ('and', 'CC'), ('I', 'PRP'), ('often', 'RB'), ('take', 'VBP'), ('out', 'RP'), ('the', 'DT'), ('rubbish', 'JJ'), ('…', 'NN'), ('.', '.')];{'take': ['take'], 'me': ['me'], 'I': ['I', 'I'], '!': ['!'], 'sometimes': ['sometimes'], 'out': ['out'], 'living': ['living'], 'room': ['room'], 'hoover': ['hoover'], 'and': ['and'], 'often': ['often'], 'at': ['at'], '.': ['.'], '…': ['…'], 'Look': ['Look'], 'the': ['the', 'the'], 'rubbish': ['rubbish']};['Look', 'at', 'me', '!', 'I', 'sometimes', 'hoover', 'the', 'living', 'room', 'and', 'I', 'often', 'take', 'out', 'the', 'rubbish', '…', '.']
315;2/B;I;41;Caroline: But you never clean the toilet.;[('Caroline', 'NN'), (':', ':'), ('But', 'CC'), ('you', 'PRP'), ('never', 'RB'), ('clean', 'VBP'), ('the', 'DT'), ('toilet', 'NN'), ('.', '.')];{'you': ['you'], 'But': ['But'], 'Caroline': ['Caroline'], 'toilet': ['toilet'], 'the': ['the'], ':': [':'], 'never': ['never'], '.': ['.'], 'clean': ['clean']};['Caroline', ':', 'But', 'you', 'never', 'clean', 'the', 'toilet', '.']
316;2/B;I;41;George: Yes, I do! Well, sometimes … hmm, OK, never.;[('George', 'NNP'), (':', ':'), ('Yes', 'UH'), (',', ','), ('I', 'PRP'), ('do', 'VBP'), ('!', '.'), ('Well', 'NNP'), (',', ','), ('sometimes', 'RB'), ('…', 'JJ'), ('hmm', 'NN'), (',', ','), ('OK', 'NNP'), (',', ','), ('never', 'RB'), ('.', '.')];{'hmm': ['hmm'], 'I': ['I'], '!': ['!'], 'do': ['do'], 'sometimes': ['sometimes'], 'Well': ['Well'], ':': [':'], '.': ['.'], '…': ['…'], 'George': ['George'], ',': [',', ',', ',', ','], 'never': ['never'], 'OK': ['OK'], 'Yes': ['Yes']};['George', ':', 'Yes', ',', 'I', 'do', '!', 'Well', ',', 'sometimes', '…', 'hmm', ',', 'OK', ',', 'never', '.']
317;2/B;I;41;Caroline: That’s not fair! Girls do all the work.;[('Caroline', 'NN'), (':', ':'), ('That’s', 'NNP'), ('not', 'RB'), ('fair', 'JJ'), ('!', '.'), ('Girls', 'NNP'), ('do', 'VBP'), ('all', 'PDT'), ('the', 'DT'), ('work', 'NN'), ('.', '.')];{'Girls': ['Girls'], 'not': ['not'], 'do': ['do'], 'work': ['work'], ':': [':'], 'all': ['all'], 'fair': ['fair'], '.': ['.'], 'That’s': ['That’s'], 'the': ['the'], '!': ['!'], 'Caroline': ['Caroline']};['Caroline', ':', 'That’s', 'not', 'fair', '!', 'Girls', 'do', 'all', 'the', 'work', '.']
318;2/B;I;41;We always make our beds and tidy the living room. And I often cook on Sundays … .;[('We', 'PRP'), ('always', 'RB'), ('make', 'VB'), ('our', 'PRP$'), ('beds', 'NNS'), ('and', 'CC'), ('tidy', 'VB'), ('the', 'DT'), ('living', 'NN'), ('room', 'NN'), ('.', '.'), ('And', 'CC'), ('I', 'PRP'), ('often', 'RB'), ('cook', 'VBP'), ('on', 'IN'), ('Sundays', 'NNP'), ('…', 'NNP'), ('.', '.')];{'our': ['our'], 'Sundays': ['Sundays'], 'and': ['and'], 'tidy': ['tidy'], 'And': ['And'], 'often': ['often'], 'We': ['We'], 'living': ['living'], 'room': ['room'], '.': ['.', '.'], 'bed': ['beds'], 'always': ['always'], 'I': ['I'], 'cook': ['cook'], 'the': ['the'], 'on': ['on'], '…': ['…'], 'make': ['make']};['We', 'always', 'make', 'our', 'bed', 'and', 'tidy', 'the', 'living', 'room', '.', 'And', 'I', 'often', 'cook', 'on', 'Sundays', '…', '.']
319;2/B;I;41;George: … and it’s always terrible! Anyway, I hate cooking.;[('George', 'NNP'), (':', ':'), ('…', 'NN'), ('and', 'CC'), ('it’s', 'NN'), ('always', 'RB'), ('terrible', 'JJ'), ('!', '.'), ('Anyway', 'NNP'), (',', ','), ('I', 'PRP'), ('hate', 'VBP'), ('cooking', 'VBG'), ('.', '.')];{'I': ['I'], '!': ['!'], 'it’s': ['it’s'], 'terrible': ['terrible'], 'cooking': ['cooking'], '.': ['.'], 'and': ['and'], 'always': ['always'], '…': ['…'], ':': [':'], 'George': ['George'], ',': [','], 'Anyway': ['Anyway'], 'hate': ['hate']};['George', ':', '…', 'and', 'it’s', 'always', 'terrible', '!', 'Anyway', ',', 'I', 'hate', 'cooking', '.']
320;2/B;I;41;Caroline: Boys are usually like that.;[('Caroline', 'NN'), (':', ':'), ('Boys', 'NNS'), ('are', 'VBP'), ('usually', 'RB'), ('like', 'IN'), ('that', 'DT'), ('.', '.')];{'usually': ['usually'], '.': ['.'], 'Caroline': ['Caroline'], 'like': ['like'], 'are': ['are'], ':': [':'], 'Boys': ['Boys'], 'that': ['that']};['Caroline', ':', 'Boys', 'are', 'usually', 'like', 'that', '.']
321;2/B;I;41;They just don’t want to help.;[('They', 'PRP'), ('just', 'RB'), ('don’t', 'VBP'), ('want', 'VBP'), ('to', 'TO'), ('help', 'VB'), ('.', '.')];{'.': ['.'], 'to': ['to'], 'help': ['help'], 'They': ['They'], 'want': ['want'], 'just': ['just'], 'don’t': ['don’t']};['They', 'just', 'don’t', 'want', 'to', 'help', '.']
322;2/B;I;41;George: Rubbish! We do lots of jobs.;[('George', 'NNP'), (':', ':'), ('Rubbish', 'JJ'), ('!', '.'), ('We', 'PRP'), ('do', 'VBP'), ('lots', 'NNS'), ('of', 'IN'), ('jobs', 'NNS'), ('.', '.')];{'lot': ['lots'], 'Rubbish': ['Rubbish'], '.': ['.'], '!': ['!'], 'do': ['do'], 'George': ['George'], 'job': ['jobs'], 'We': ['We'], ':': [':'], 'of': ['of']};['George', ':', 'Rubbish', '!', 'We', 'do', 'lot', 'of', 'job', '.']
323;2/B;I;41;I always walk the dog and … .;[('I', 'PRP'), ('always', 'RB'), ('walk', 'VBP'), ('the', 'DT'), ('dog', 'NN'), ('and', 'CC'), ('…', 'NN'), ('.', '.')];{'always': ['always'], 'I': ['I'], 'and': ['and'], 'the': ['the'], 'dog': ['dog'], '…': ['…'], '.': ['.'], 'walk': ['walk']};['I', 'always', 'walk', 'the', 'dog', 'and', '…', '.']
324;2/B;I;41;Caroline: George, wait – Mum is back!;[('Caroline', 'NN'), (':', ':'), ('George', 'NNP'), (',', ','), ('wait', 'VBP'), ('–', 'JJ'), ('Mum', 'NNP'), ('is', 'VBZ'), ('back', 'RB'), ('!', '.')];{'–': ['–'], 'Mum': ['Mum'], 'Caroline': ['Caroline'], '!': ['!'], 'George': ['George'], ',': [','], ':': [':'], 'back': ['back'], 'is': ['is'], 'wait': ['wait']};['Caroline', ':', 'George', ',', 'wait', '–', 'Mum', 'is', 'back', '!']
325;2/B;I;41;George: Oh no. We still have all the jobs to do!…;[('George', 'NNP'), (':', ':'), ('Oh', 'UH'), ('no', 'DT'), ('.', '.'), ('We', 'PRP'), ('still', 'RB'), ('have', 'VBP'), ('all', 'PDT'), ('the', 'DT'), ('jobs', 'NNS'), ('to', 'TO'), ('do', 'VB'), ('!', '.'), ('…', 'VB')];{':': [':'], '!': ['!'], 'have': ['have'], 'do': ['do'], 'Oh': ['Oh'], 'still': ['still'], 'all': ['all'], 'We': ['We'], '.': ['.'], '…': ['…'], 'to': ['to'], 'George': ['George'], 'job': ['jobs'], 'the': ['the'], 'no': ['no']};['George', ':', 'Oh', 'no', '.', 'We', 'still', 'have', 'all', 'the', 'job', 'to', 'do', '!', '…']
326;2/B;I;41;Mrs Lambraki is angry with the twins.;[('Mrs', 'NNP'), ('Lambraki', 'NNP'), ('is', 'VBZ'), ('angry', 'JJ'), ('with', 'IN'), ('the', 'DT'), ('twins', 'NNS'), ('.', '.')];{'.': ['.'], 'Lambraki': ['Lambraki'], 'is': ['is'], 'Mrs': ['Mrs'], 'the': ['the'], 'angry': ['angry'], 'twin': ['twins'], 'with': ['with']};['Mrs', 'Lambraki', 'is', 'angry', 'with', 'the', 'twin', '.']
327;2/B;I;41;She says: “I can’t believe it! What about the list? You never do jobs at home!”;[('She', 'PRP'), ('says', 'VBZ'), (':', ':'), ('“I', 'NN'), ('can’t', 'NN'), ('believe', 'VBP'), ('it', 'PRP'), ('!', '.'), ('What', 'WP'), ('about', 'IN'), ('the', 'DT'), ('list', 'NN'), ('?', '.'), ('You', 'PRP'), ('never', 'RB'), ('do', 'VBP'), ('jobs', 'NNS'), ('at', 'IN'), ('home', 'NN'), ('!', '.'), ('”', 'NN')];{'”': ['”'], '!': ['!', '!'], 'What': ['What'], 'believe': ['believe'], 'at': ['at'], 'it': ['it'], ':': [':'], 'about': ['about'], 'do': ['do'], 'You': ['You'], 'say': ['says'], 'list': ['list'], 'She': ['She'], 'job': ['jobs'], 'the': ['the'], '“I': ['“I'], '?': ['?'], 'never': ['never'], 'home': ['home'], 'can’t': ['can’t']};['She', 'say', ':', '“I', 'can’t', 'believe', 'it', '!', 'What', 'about', 'the', 'list', '?', 'You', 'never', 'do', 'job', 'at', 'home', '!', '”']
328;2/C;I;42;Caroline: Hello?;[('Caroline', 'NN'), (':', ':'), ('Hello', 'NNP'), ('?', '.')];{':': [':'], 'Caroline': ['Caroline'], 'Hello': ['Hello'], '?': ['?']};['Caroline', ':', 'Hello', '?']
329;2/C;I;42;Emma: Hi Caroline, it’s Emma.;[('Emma', 'NN'), (':', ':'), ('Hi', 'NNP'), ('Caroline', 'NNP'), (',', ','), ('it’s', 'JJ'), ('Emma', 'NNP'), ('.', '.')];{'.': ['.'], 'Caroline': ['Caroline'], ',': [','], 'it’s': ['it’s'], ':': [':'], 'Hi': ['Hi'], 'Emma': ['Emma', 'Emma']};['Emma', ':', 'Hi', 'Caroline', ',', 'it’s', 'Emma', '.']
330;2/C;I;42;Listen, about the sleepover: Mum says I can come.;[('Listen', 'NNP'), (',', ','), ('about', 'IN'), ('the', 'DT'), ('sleepover', 'NN'), (':', ':'), ('Mum', 'NNP'), ('says', 'VBZ'), ('I', 'PRP'), ('can', 'MD'), ('come', 'VB'), ('.', '.')];{'sleepover': ['sleepover'], 'can': ['can'], 'I': ['I'], ':': [':'], 'come': ['come'], 'about': ['about'], '.': ['.'], 'say': ['says'], ',': [','], 'the': ['the'], 'Mum': ['Mum'], 'Listen': ['Listen']};['Listen', ',', 'about', 'the', 'sleepover', ':', 'Mum', 'say', 'I', 'can', 'come', '.']
331;2/C;I;42;Caroline: Brilliant!;[('Caroline', 'NN'), (':', ':'), ('Brilliant', 'NN'), ('!', '.')];{'!': ['!'], 'Brilliant': ['Brilliant'], ':': [':'], 'Caroline': ['Caroline']};['Caroline', ':', 'Brilliant', '!']
332;2/C;I;42;Let’s find the right day: George wants to invite his new friend Charlie, too … so Mum and Dad want to be there, of course.;[('Let’s', 'NNP'), ('find', 'VBP'), ('the', 'DT'), ('right', 'JJ'), ('day', 'NN'), (':', ':'), ('George', 'NNP'), ('wants', 'VBZ'), ('to', 'TO'), ('invite', 'VB'), ('his', 'PRP$'), ('new', 'JJ'), ('friend', 'NN'), ('Charlie', 'NNP'), (',', ','), ('too', 'RB'), ('…', 'NNP'), ('so', 'RB'), ('Mum', 'NNP'), ('and', 'CC'), ('Dad', 'NNP'), ('want', 'VBP'), ('to', 'TO'), ('be', 'VB'), ('there', 'RB'), (',', ','), ('of', 'IN'), ('course', 'NN'), ('.', '.')];{'and': ['and'], 'Dad': ['Dad'], 'there': ['there'], 'be': ['be'], 'so': ['so'], ',': [',', ','], 'day': ['day'], 'find': ['find'], 'invite': ['invite'], 'his': ['his'], 'too': ['too'], 'new': ['new'], 'course': ['course'], ':': [':'], 'of': ['of'], 'friend': ['friend'], '.': ['.'], '…': ['…'], 'to': ['to', 'to'], 'Let’s': ['Let’s'], 'Charlie': ['Charlie'], 'George': ['George'], 'the': ['the'], 'Mum': ['Mum'], 'want': ['wants', 'want'], 'right': ['right']};['Let’s', 'find', 'the', 'right', 'day', ':', 'George', 'want', 'to', 'invite', 'his', 'new', 'friend', 'Charlie', ',', 'too', '…', 'so', 'Mum', 'and', 'Dad', 'want', 'to', 'be', 'there', ',', 'of', 'course', '.']
333;2/C;I;42;Emma: What about next week?;[('Emma', 'NN'), (':', ':'), ('What', 'WP'), ('about', 'IN'), ('next', 'JJ'), ('week', 'NN'), ('?', '.')];{'week': ['week'], 'What': ['What'], 'next': ['next'], ':': [':'], '?': ['?'], 'Emma': ['Emma'], 'about': ['about']};['Emma', ':', 'What', 'about', 'next', 'week', '?']
334;2/C;I;42;I have got dancing lessons on Mondays and there is basketball training on 15 Thursday.;[('I', 'PRP'), ('have', 'VBP'), ('got', 'VBN'), ('dancing', 'JJ'), ('lessons', 'NNS'), ('on', 'IN'), ('Mondays', 'NNS'), ('and', 'CC'), ('there', 'EX'), ('is', 'VBZ'), ('basketball', 'JJ'), ('training', 'VBG'), ('on', 'IN'), ('15', 'CD'), ('Thursday', 'NNP'), ('.', '.')];{'I': ['I'], 'have': ['have'], 'on': ['on', 'on'], 'lesson': ['lessons'], 'and': ['and'], 'there': ['there'], 'got': ['got'], 'Thursday': ['Thursday'], '.': ['.'], '15': ['15'], 'basketball': ['basketball'], 'dancing': ['dancing'], 'training': ['training'], 'Mondays': ['Mondays'], 'is': ['is']};['I', 'have', 'got', 'dancing', 'lesson', 'on', 'Mondays', 'and', 'there', 'is', 'basketball', 'training', 'on', '15', 'Thursday', '.']
335;2/C;I;42;But all the other nights are OK.;[('But', 'CC'), ('all', 'PDT'), ('the', 'DT'), ('other', 'JJ'), ('nights', 'NNS'), ('are', 'VBP'), ('OK', 'JJ'), ('.', '.')];{'But': ['But'], 'night': ['nights'], 'are': ['are'], 'other': ['other'], 'the': ['the'], 'OK': ['OK'], 'all': ['all'], '.': ['.']};['But', 'all', 'the', 'other', 'night', 'are', 'OK', '.']
